batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,num_warp,chunkK,splitK
1,1,32,128,65536,0.002,12.9,14.6,8,128,260
2,1,32,128,65536,0.002,21.2,18.6,8,64,-1
3,1,32,128,65536,0.002,31.3,23.1,8,64,172
4,1,32,128,65536,0.002,36.3,26.0,8,128,136
5,1,32,128,65536,0.002,45.2,27.6,8,128,112
6,1,32,128,65536,0.002,50.7,32.0,8,128,92
7,1,32,128,65536,0.002,55.1,34.4,4,64,200
8,1,32,128,65536,0.002,63.5,38.1,8,64,120
9,1,32,128,65536,0.002,68.9,37.4,8,128,60
10,1,32,128,65536,0.002,72.2,42.6,8,128,56
11,1,32,128,65536,0.002,77.4,42.6,8,64,84
12,1,32,128,65536,0.002,87.6,49.1,4,64,96
13,1,32,128,65536,0.002,94.2,51.5,8,128,44
14,1,32,128,65536,0.002,96.8,51.2,8,128,40
15,1,32,128,65536,0.002,107.3,50.5,8,128,36
16,1,32,128,65536,0.002,111.8,62.5,4,64,72
17,1,32,128,65536,0.002,176.5,58.0,8,64,56
18,1,32,128,65536,0.002,176.2,63.0,8,128,28
19,1,32,128,65536,0.002,174.1,67.6,8,128,32
20,1,32,128,65536,0.002,138.0,72.7,8,64,48
