batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,top_configs
1,1,32,128,65536,0.002,12.9,14.6,"[(8, 128, 260, 14), (8, 128, 280, 14), (8, 128, 332, 14), (8, 128, 348, 14), (8, 128, 300, 14), (8, 128, 364, 14), (8, 128, 356, 14), (8, 128, 308, 14), (8, 128, 328, 14), (8, 128, 284, 14)]"
2,1,32,128,65536,0.002,21.2,18.6,"[(8, 64, -1, 18), (8, 64, 288, 18), (8, 64, 304, 18), (8, 64, 264, 18), (8, 64, 268, 18), (8, 64, 328, 18), (8, 64, 272, 18), (8, 64, 320, 18), (8, 64, 336, 18), (8, 64, 296, 18)]"
3,1,32,128,65536,0.002,31.3,23.1,"[(8, 64, 172, 23), (8, 64, 184, 23), (8, 64, 204, 23), (8, 128, 92, 23), (8, 64, 200, 23), (8, 64, 176, 23), (8, 64, 192, 23), (8, 64, 196, 23), (8, 64, 188, 23), (8, 128, 96, 23)]"
4,1,32,128,65536,0.002,36.3,26.0,"[(8, 128, 136, 25), (8, 128, -1, 26), (8, 128, 80, 26), (8, 128, 132, 26), (4, 64, 256, 26), (8, 128, 140, 26), (8, 64, 244, 26), (8, 128, 152, 26), (8, 128, 164, 26), (4, 64, 272, 26)]"
5,1,32,128,65536,0.002,45.2,27.6,"[(8, 128, 112, 27), (8, 128, 124, 27), (8, 128, 108, 27), (8, 128, 116, 27), (8, 128, 104, 27), (8, 128, 128, 27), (8, 128, 120, 27), (8, 128, -1, 27), (4, 64, 180, 29), (4, 64, 184, 29)]"
6,1,32,128,65536,0.002,50.7,32.0,"[(8, 128, 92, 32), (8, 128, 96, 32), (4, 64, 144, 32), (4, 64, 132, 32), (8, 128, 100, 32), (8, 128, -1, 32), (4, 64, 136, 32), (8, 128, 88, 32), (8, 64, 144, 32), (8, 64, 136, 32)]"
7,1,32,128,65536,0.002,55.1,34.4,"[(4, 64, 200, 34), (4, 64, 176, 34), (4, 64, 184, 34), (4, 64, 188, 34), (4, 64, 192, 34), (4, 64, 204, 34), (4, 64, 180, 34), (4, 64, 140, 34), (8, 64, 140, 34), (8, 64, 144, 34)]"
8,1,32,128,65536,0.002,63.5,38.1,"[(8, 64, 120, 38), (8, 128, 80, 38), (4, 64, 128, 38), (8, 64, 116, 38), (8, 128, 72, 38), (4, 64, 120, 38), (8, 128, 68, 38), (4, 64, 116, 38), (4, 64, 152, 38), (8, 64, 124, 38)]"
9,1,32,128,65536,0.002,68.9,37.4,"[(8, 128, 60, 37), (8, 128, 64, 38), (8, 64, 60, 40), (8, 128, 68, 40), (4, 64, 100, 41), (4, 64, 96, 41), (8, 64, 100, 41), (8, 64, 96, 41), (8, 128, 52, 41), (8, 128, 56, 41)]"
10,1,32,128,65536,0.002,72.2,42.6,"[(8, 128, 56, 42), (8, 128, 52, 42), (4, 64, 96, 43), (4, 64, 100, 43), (4, 64, 92, 43), (8, 64, 92, 43), (8, 128, 60, 43), (8, 64, 100, 43), (8, 64, 96, 43), (8, 64, 76, 44)]"
11,1,32,128,65536,0.002,77.4,42.6,"[(8, 64, 84, 42), (4, 64, 80, 42), (4, 64, 84, 42), (8, 64, 80, 42), (8, 128, 52, 46), (8, 128, 48, 47), (8, 128, 56, 47), (8, 64, 76, 47), (4, 64, 112, 47), (4, 64, 104, 47)]"
12,1,32,128,65536,0.002,87.6,49.1,"[(4, 64, 96, 49), (8, 128, 44, 49), (4, 64, 100, 49), (8, 128, -1, 49), (8, 64, 76, 50), (8, 128, 48, 50), (4, 64, 72, 50), (4, 64, 88, 50), (4, 64, 92, 50), (8, 64, 64, 50)]"
13,1,32,128,65536,0.002,94.2,51.5,"[(8, 128, 44, 51), (8, 128, 40, 52), (8, 64, 72, 52), (4, 64, 72, 52), (4, 64, 88, 53), (4, 64, 92, 53), (4, 64, 84, 53), (8, 64, 68, 54), (8, 64, 56, 54), (8, 64, 64, 54)]"
14,1,32,128,65536,0.002,96.8,51.2,"[(8, 128, 40, 51), (8, 64, 64, 52), (4, 64, 64, 52), (4, 64, 188, 54), (4, 64, 196, 55), (4, 64, 176, 55), (4, 64, 172, 55), (4, 64, 204, 55), (4, 64, 184, 55), (4, 64, 200, 55)]"
15,1,32,128,65536,0.002,107.3,50.5,"[(8, 128, 36, 50), (8, 128, -1, 57), (8, 128, 32, 58), (4, 64, 80, 58), (4, 64, 84, 58), (8, 128, 40, 58), (4, 64, 64, 59), (4, 64, 76, 59), (8, 64, 60, 59), (4, 64, 60, 60)]"
16,1,32,128,65536,0.002,111.8,62.5,"[(4, 64, 72, 62), (4, 64, 60, 62), (4, 64, 76, 62), (4, 64, 68, 63), (8, 128, 36, 63), (8, 64, 56, 63), (4, 64, 56, 63), (8, 64, 60, 63), (8, 64, 52, 63), (8, 128, 32, 63)]"
17,1,32,128,65536,0.002,176.5,58.0,"[(8, 64, 56, 58), (4, 64, 56, 59), (8, 64, 60, 59), (4, 64, 60, 61), (8, 128, 60, 62), (8, 128, 64, 63), (4, 64, 72, 63), (8, 64, 48, 64), (4, 64, 124, 65), (4, 64, 116, 65)]"
18,1,32,128,65536,0.002,176.2,63.0,"[(8, 128, 28, 63), (8, 64, 64, 68), (8, 128, 32, 69), (4, 64, 96, 69), (4, 64, 64, 69), (8, 64, 48, 69), (4, 64, 68, 69), (8, 64, 28, 69), (4, 64, 52, 70), (4, 64, 100, 70)]"
19,1,32,128,65536,0.002,174.1,67.6,"[(8, 128, 32, 67), (4, 64, 64, 71), (4, 64, 60, 71), (8, 64, 60, 72), (8, 64, 48, 72), (4, 64, 48, 72), (8, 64, 40, 72), (8, 128, 28, 72), (4, 64, 324, 73), (4, 64, 280, 73)]"
20,1,32,128,65536,0.002,138.0,72.7,"[(8, 64, 48, 72), (8, 64, 44, 74), (4, 64, 48, 74), (4, 64, 56, 74), (4, 64, 60, 75), (4, 64, 52, 75), (8, 128, -1, 75), (8, 128, 28, 76), (4, 64, 44, 76), (8, 64, 40, 76)]"
